Kode,KodeSupplier,Nama,Harga,Satuan,Barcode
246,170,PISANG HIJAU,5625,PCS  ,0
2463,71,KOMIX OBH,427.5,PCS  ,8.99306E+12
247,19,SELAMAT ANYTIME 180 GR,7466.25,PCS  ,8.991E+12
2471,19,WISPER REG FLOW W 10,11013.75,PCS  ,4.90243E+12
2472,A0098     ,WRD REF EXCL TWC 03 12GR,9922.5,PCS  ,8.99314E+12
248,19,SELAMAT ANYTIME ORANGE180,7466.25,PCS  ,8.991E+12
2483,A0098     ,WRD WS PURE BRIGHT CLE 150,5000,PCS  ,8.99314E+12
2484,167,CUSSON SW 17 CHARMING 75,6737.5,PCS  ,8.9981E+12
2485,33,PLASENTA HBL MERAH 600,7500,PCS  ,0
2487,A0098     ,WRD REF EXCL TWC 02 12GR,5000,PCS  ,8.99314E+12
249,19,SELAMAT BISC CHO/G.CHOC 102G,5981.25,PCS  ,8.991E+12
2493,89,VIVA SPRIT ON ADVENTURE,7812.5,PCS  ,8.9928E+12
2494,89,VIVA SPRIT ON SPORTY,7812.5,PCS  ,8.9928E+12
2495,89,VIVA HBL ASMARA CARROT,2083.75,PCS  ,8.9928E+12
2496,102,OLAY TOTAL WHT EXT 20,11261.25,PCS  ,8.99009E+12
2497,19,OLAY TOTAL WHT EXT LIGHT 40,20418.75,PCS  ,4.90243E+12
2498,19,OLAY TOTAL WHT EXT 80,36753.75,PCS  ,8.99009E+12
2503,89,VIVA HBL CHAMOMILE 100,2083.75,PCS  ,8.9928E+12
2505,40,HERS PROTEX SC REG 60,3750,PCS  ,8.99887E+12
2507,51,PUTERI BD SHR LAVEN 135,6800,PCS  ,8.99515E+12
2508,51,MR  LULUR SBN BENGK W150,14900,PCS  ,8.99515E+12
251,19,DELFI BRIKO BLACK V 125,6270,PCS  ,8.991E+12
252,19,DELFI BRIKO CHOCO 125,6270,PCS  ,8.991E+12
